	taxon	present	absent	90%	75%	50%	25%	10%
0	3_A_albimanus	3015	239	962	1599	2477	2942	3010
1	10_A_farauti	3183	71	1058	1747	2686	3122	3180
2	12_A_gambiae	2805	449	731	1260	2162	2705	2799
3	9_A_epiroctus	3003	251	644	1176	2143	2836	2992
4	21_C_quinquefasciatus	2458	796	511	974	1750	2321	2451
5	11_A_funestris	3059	195	813	1503	2459	2969	3051
6	8_A_dirus	3169	85	1013	1707	2605	3091	3164
7	19_A_stephensi	3034	220	920	1594	2473	2955	3026
8	18_A_sinensis	2676	578	736	1318	2140	2593	2670
9	7_A_darlingi	2920	334	970	1592	2409	2846	2917
10	13_A_maculatus	3179	75	906	1634	2558	3085	3173
11	2_A_albimanus	3145	109	1249	1943	2731	3096	3143
12	6_A_culici	3080	174	715	1401	2381	2964	3075
13	16_A_minimus	3169	85	1031	1745	2689	3103	3164
14	14_A_melas	3182	72	886	1521	2489	3074	3175
15	5_A_chrystyi	3188	66	932	1653	2600	3099	3180
16	20_D_melanogaster	2371	883	877	1414	2043	2338	2367
17	4_A_atroparvus	2299	955	227	455	1039	1822	2225
18	15_A_merus	3208	46	1079	1769	2656	3144	3201
19	17_A_quadriannulatus	68	3186	1	2	13	43	64
20	1_A_aegypti	2508	746	282	647	1473	2283	2495
